name,type,group,possible_if,computed,computed_from,cardinality,value_set,value_set_location,description,example,comments
address,Text,structure,,False,,Single,False,,Address of the structure being inspected.,,
structure_number,Integer,structure,,False,,Multi,False,,Card number of the structure on the property.,,
date,Datetime (UTC),incident,,False,,Single,False,,Date of inspection.,,
incident_name,Text,incident,,False,,Single,False,,"Official name of the incident, if one has been designated.",,
vacant_status,Boolean,structure,,False,,Single,False,,Status of the building as vacant.,,
vacancy_type,Array[Text],structure,vacant_status = TRUE,False,,Single,True,type_vacancy,Type of vacancy observed.,,
multi_unit,Boolean,structure,,False,,Single,False,,Whether the structure contains multiple units.,,
units_in_structure,Integer,structure,multi_unit = TRUE,False,,Single,False,,Number of units within the structure.,,
construction,Array[Text],structure,,False,,Single,True,type_construction,Construction type of the structure.,,
roof_material,Array[Text],structure,,False,,Single,True,type_roof_material,Roof material of the structure.,,
eaves,Array[Text],structure,,False,,Single,True,type_eaves,Eave type observed on the structure.,,
year_built,Integer,structure,,False,,Single,False,,Year the structure was built.,,
vent_screen,Array[Text],structure,,False,,Multi,True,type_vents,Vent/screen type observed on the structure.,,
exterior_finish,Array[Text],structure,,False,,Single,True,type_exterior_finish,Exterior finish of the structure.,,
window_panes,Array[Text],structure,,False,,Single,True,type_window_panes,Winow pane type observed on the structure.,,
outbuildings,Integer,parcel,,False,,Single,False,,Number of outbuildings observed on the parcel.,,
deck_porch_grade,Array[Text],parcel,,False,,Multi,True,type_deck_porch_grade,"Grade of deck or porch, if one was observed.",,
deck_porch_material,Array[Text],parcel,deck_porch_grade != No Deck Present,False,,Multi,True,type_deck_porch_material,"Material of deck or porch, if one was observed.",,
attached_addition,Array[Text],parcel,,False,,Multi,True,type_attached,"Type of attached addition or modification, if one was observed.",,
attached_addition_materials,Array[Text],parcel,attached_addition != None,False,,,True,type_attached_materials,Material of attached addition.,,
distance_to_nearest_structure,Numeric,parcel,,False,,Single,False,,Distance to nearest structure.,,
distance_unit,Array[Text],parcel,,False,,Single,True,type_distance_unit,Unit type of measured distance to nearest structure.,,
window_damage,Array[Text],damage,,False,,Multi,True,type_window_damage,Most severe level of window damage observed.,,
impacted_additions,Array[Text],damage,attached_addition != None,False,,Multi,True,type_attached,Attached additions impacted/damaged by hazard.,,
fire_origin_location,Array[Text],incident,,False,,Multi,True,type_dins_origin_location,Location where the fire may have originated/spread to the structure.,See type_dins_origin_location,
damage_assessment,Array[Text],damage,,False,,Single,True,type_fire_bldg_damage,Extent of the damage caused by the hazard.,,
displacement,Boolean,damage,,False,,Single,False,,Whether the occupants were displaced due to the damage.,,
displace_number,Integer,damage,displacement = TRUE,False,,Single,False,,Number of occupants displaced due to damage.,,
displace_cause,Array[Text],damage,displacement = TRUE,False,,Multi,True,type_displace_cause,Cause of the displacement.,,
